@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,401,0,213,0,1,1,0.653094,1,0.346906,0.790148,1,1,0.02927
1,400,1,213,0,1,0.997506,0.652529,0.997506,0.347471,0.788955,0.998371,0.999133,0.029285
2,400,1,212,1,0.995305,0.997506,0.653595,0.997506,0.346405,0.789733,0.996743,1.000766,0.029287
3,400,1,211,2,0.99061,0.997506,0.654664,0.997506,0.345336,0.790514,0.995114,1.002404,0.029336
4,400,1,210,3,0.985915,0.997506,0.655738,0.997506,0.344262,0.791296,0.993485,1.004047,0.029372
5,399,2,210,3,0.985915,0.995012,0.655172,0.995012,0.344828,0.790099,0.991857,1.003182,0.029395
6,399,2,209,4,0.981221,0.995012,0.65625,0.995012,0.34375,0.790882,0.990228,1.004832,0.029453
7,399,2,208,5,0.976526,0.995012,0.657331,0.995012,0.342669,0.791667,0.988599,1.006487,0.02972
8,399,2,207,6,0.971831,0.995012,0.658416,0.995012,0.341584,0.792453,0.986971,1.008148,0.030071
9,399,2,206,7,0.967136,0.995012,0.659504,0.995012,0.340496,0.793241,0.985342,1.009814,0.030312
10,398,3,206,7,0.967136,0.992519,0.65894,0.992519,0.34106,0.79204,0.983713,1.008951,0.030609
11,398,3,205,8,0.962441,0.992519,0.660033,0.992519,0.339967,0.792829,0.982085,1.010624,0.031693
12,397,4,205,8,0.962441,0.990025,0.659468,0.990025,0.340532,0.791625,0.980456,1.00976,0.031746
13,397,4,204,9,0.957746,0.990025,0.660566,0.990025,0.339434,0.792415,0.978827,1.01144,0.032499
14,397,4,203,10,0.953052,0.990025,0.661667,0.990025,0.338333,0.793207,0.977199,1.013126,0.032508
15,397,4,202,11,0.948357,0.990025,0.662771,0.990025,0.337229,0.794,0.97557,1.014817,0.033067
16,397,4,201,12,0.943662,0.990025,0.66388,0.990025,0.33612,0.794795,0.973941,1.016514,0.033126
17,397,4,200,13,0.938967,0.990025,0.664992,0.990025,0.335008,0.795591,0.972313,1.018217,0.033565
18,396,5,200,13,0.938967,0.987531,0.66443,0.987531,0.33557,0.794383,0.970684,1.017356,0.033699
19,396,5,199,14,0.934272,0.987531,0.665546,0.987531,0.334454,0.795181,0.969055,1.019066,0.034096
20,396,5,198,15,0.929577,0.987531,0.666667,0.987531,0.333333,0.79598,0.967427,1.020781,0.040187
21,396,5,197,16,0.924883,0.987531,0.667791,0.987531,0.332209,0.796781,0.965798,1.022503,0.04225
22,396,5,196,17,0.920188,0.987531,0.668919,0.987531,0.331081,0.797583,0.964169,1.02423,0.043862
23,396,5,195,18,0.915493,0.987531,0.670051,0.987531,0.329949,0.798387,0.962541,1.025963,0.04453
24,396,5,194,19,0.910798,0.987531,0.671186,0.987531,0.328814,0.799193,0.960912,1.027702,0.050358
25,396,5,193,20,0.906103,0.987531,0.672326,0.987531,0.327674,0.8,0.959283,1.029447,0.059383
26,396,5,192,21,0.901408,0.987531,0.673469,0.987531,0.326531,0.800809,0.957655,1.031198,0.076382
27,396,5,191,22,0.896714,0.987531,0.674617,0.987531,0.325383,0.801619,0.956026,1.032954,0.076683
28,396,5,190,23,0.892019,0.987531,0.675768,0.987531,0.324232,0.802432,0.954397,1.034717,0.078495
29,395,6,190,23,0.892019,0.985037,0.675214,0.985037,0.324786,0.801217,0.952769,1.033868,0.087952
30,395,6,189,24,0.887324,0.985037,0.67637,0.985037,0.32363,0.80203,0.95114,1.035639,0.098098
31,394,7,189,24,0.887324,0.982544,0.675815,0.982544,0.324185,0.800813,0.949511,1.034789,0.116759
32,394,7,188,25,0.882629,0.982544,0.676976,0.982544,0.323024,0.801628,0.947883,1.036567,0.11676
33,393,8,188,25,0.882629,0.98005,0.67642,0.98005,0.32358,0.800407,0.946254,1.035715,0.116761
34,392,9,188,25,0.882629,0.977556,0.675862,0.977556,0.324138,0.799185,0.944625,1.034861,0.116762
35,392,9,187,26,0.877934,0.977556,0.677029,0.977556,0.322971,0.8,0.942997,1.036648,0.116762
36,392,9,186,27,0.873239,0.977556,0.678201,0.977556,0.321799,0.800817,0.941368,1.038442,0.116764
37,392,9,185,28,0.868545,0.977556,0.679376,0.977556,0.320624,0.801636,0.939739,1.040242,0.116765
38,392,9,184,29,0.86385,0.977556,0.680556,0.977556,0.319444,0.802456,0.938111,1.042048,0.116768
39,392,9,183,30,0.859155,0.977556,0.681739,0.977556,0.318261,0.803279,0.936482,1.04386,0.116774
40,392,9,182,31,0.85446,0.977556,0.682927,0.977556,0.317073,0.804103,0.934853,1.045678,0.116777
41,391,10,182,31,0.85446,0.975062,0.682373,0.975062,0.317627,0.802875,0.933225,1.044831,0.116791
42,391,10,181,32,0.849765,0.975062,0.683566,0.975062,0.316434,0.8037,0.931596,1.046658,0.116846
43,391,10,180,33,0.84507,0.975062,0.684764,0.975062,0.315236,0.804527,0.929967,1.048491,0.116854
44,390,11,180,33,0.84507,0.972569,0.684211,0.972569,0.315789,0.803296,0.928339,1.047644,0.116891
45,389,12,180,33,0.84507,0.970075,0.683656,0.970075,0.316344,0.802062,0.92671,1.046794,0.116952
46,389,12,179,34,0.840376,0.970075,0.684859,0.970075,0.315141,0.80289,0.925081,1.048637,0.117006
47,389,12,178,35,0.835681,0.970075,0.686067,0.970075,0.313933,0.803719,0.923453,1.050487,0.1174
48,389,12,177,36,0.830986,0.970075,0.687279,0.970075,0.312721,0.80455,0.921824,1.052343,0.117648
49,388,13,177,36,0.830986,0.967581,0.686726,0.967581,0.313274,0.803313,0.920195,1.051495,0.11797
50,388,13,176,37,0.826291,0.967581,0.687943,0.967581,0.312057,0.804145,0.918567,1.05336,0.118097
51,387,14,176,37,0.826291,0.965087,0.687389,0.965087,0.312611,0.802905,0.916938,1.052511,0.118309
52,387,14,175,38,0.821596,0.965087,0.688612,0.965087,0.311388,0.803738,0.915309,1.054384,0.119454
53,387,14,174,39,0.816901,0.965087,0.68984,0.965087,0.31016,0.804574,0.913681,1.056263,0.119808
54,387,14,173,40,0.812207,0.965087,0.691071,0.965087,0.308929,0.805411,0.912052,1.058149,0.120248
55,387,14,172,41,0.807512,0.965087,0.692308,0.965087,0.307692,0.80625,0.910423,1.060042,0.121685
56,387,14,171,42,0.802817,0.965087,0.693548,0.965087,0.306452,0.807091,0.908795,1.061942,0.123459
57,387,14,170,43,0.798122,0.965087,0.694794,0.965087,0.305206,0.807933,0.907166,1.063848,0.12374
58,387,14,169,44,0.793427,0.965087,0.696043,0.965087,0.303957,0.808777,0.905537,1.065762,0.125268
59,387,14,168,45,0.788732,0.965087,0.697297,0.965087,0.302703,0.809623,0.903909,1.067682,0.125691
60,386,15,168,45,0.788732,0.962594,0.696751,0.962594,0.303249,0.808377,0.90228,1.066846,0.125832
61,386,15,167,46,0.784038,0.962594,0.698011,0.962594,0.301989,0.809224,0.900651,1.068775,0.127625
62,385,16,167,46,0.784038,0.9601,0.697464,0.9601,0.302536,0.807975,0.899023,1.067937,0.127813
63,385,16,166,47,0.779343,0.9601,0.69873,0.9601,0.30127,0.808824,0.897394,1.069875,0.127855
