@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,213,0,401,0,1,1,0.346906,1,0.653094,0.515115,1,1,0
1,212,1,388,13,0.967581,0.995305,0.353333,0.995305,0.646667,0.521525,0.977199,1.018529,0.02381
2,210,3,346,55,0.862843,0.985915,0.377698,0.985915,0.622302,0.546164,0.905537,1.088763,0.061644
3,205,8,288,113,0.718204,0.962441,0.415822,0.962441,0.584178,0.580737,0.802932,1.198659,0.09589
4,200,13,254,147,0.633416,0.938967,0.440529,0.938967,0.559471,0.5997,0.739414,1.269881,0.144737
5,177,36,159,242,0.396509,0.830986,0.526786,0.830986,0.473214,0.644809,0.547231,1.518528,0.170732
6,170,43,144,257,0.359102,0.798122,0.541401,0.798122,0.458599,0.645161,0.511401,1.560659,0.242105
7,152,61,106,295,0.264339,0.713615,0.589147,0.713615,0.410853,0.645435,0.420195,1.698293,0.29703
8,138,75,80,321,0.199501,0.647887,0.633028,0.647887,0.366972,0.640371,0.355049,1.824784,0.395349
9,128,85,67,334,0.167082,0.600939,0.65641,0.600939,0.34359,0.627451,0.31759,1.892187,0.578947
10,108,105,45,356,0.112219,0.507042,0.705882,0.507042,0.294118,0.590164,0.249186,2.034797,0.754717
11,68,145,27,374,0.067332,0.319249,0.715789,0.319249,0.284211,0.441558,0.154723,2.063356,0.764706
12,64,149,24,377,0.05985,0.300469,0.727273,0.300469,0.272727,0.425249,0.143322,2.096458,0.8
13,63,150,23,378,0.057357,0.295775,0.732558,0.295775,0.267442,0.421405,0.140065,2.111693,0.833333
14,61,152,22,379,0.054863,0.286385,0.73494,0.286385,0.26506,0.412162,0.135179,2.118559,0.842105
15,31,182,13,388,0.032419,0.14554,0.704545,0.14554,0.295455,0.241245,0.071661,2.030943,0.869565
16,8,205,10,391,0.024938,0.037559,0.444444,0.037559,0.555556,0.069264,0.029316,1.281168,0.888889
17,8,205,8,393,0.01995,0.037559,0.5,0.037559,0.5,0.069869,0.026059,1.441315,1
18,0,213,0,401,0,0,0,0,0,0,0,?,1.00001
